Product,Brand,Category,Style,Quantity,Quantity Units,Volume,Package,ABV,Units of Alcohol
Meantime Chocolate Porter,Meantime,Beer,Porter,330,ml,330,bottle,6.5,2.1
Meantime Fest Bier,Meantime,Beer,Lager,1,pint,568,draught,5.6,3.2
Meantime Fools Gold,Meantime,Beer,Ale,1,pint,568,draught,4.5,2.6
Meantime Helles Lager,Meantime,Beer,Lager,330,ml,330,bottle,4.2,1.4
Meantime Helles Lager,Meantime,Beer,Lager,1,pint,568,draught,4.2,2.4
Meantime London IPA,Meantime,Beer,IPA,330,ml,330,bottle,7.4,2.4
Meantime London Lager,Meantime,Beer,Lager,330,ml,330,bottle,4.5,1.5
Meantime London Lager,Meantime,Beer,Lager,330,ml,330,can,4.5,1.5
Meantime London Lager,Meantime,Beer,Lager,1,pint,568,draught,4.5,2.6
Meantime London Pale Ale,Meantime,Beer,Pale Ale,330,ml,330,bottle,4.3,1.4
Meantime London Pale Ale,Meantime,Beer,Pale Ale,330,ml,330,can,4.3,1.4
Meantime London Pale Ale,Meantime,Beer,Pale Ale,1,pint,568,draught,4.3,2.4
Meantime London Stout,Meantime,Beer,Stout,330,ml,330,bottle,4.5,1.5
Meantime Lucky Hop,Meantime,Beer,Summer Ale,1,pint,568,draught,4.4,2.5
Meantime Meridian Lager,Meantime,Beer,Lager,1,pint,568,draught,5.0,2.8
Meantime Pilsner,Meantime,Beer,Lager,330,ml,330,bottle,4.4,1.5
Meantime Pilsner,Meantime,Beer,Lager,1,pint,568,draught,4.4,2.5
Meantime Wheat,Meantime,Beer,Wheat Beer,330,ml,330,bottle,5.0,1.7
Meantime Winter Sun,Meantime,Beer,Ale,1,pint,568,draught,5.9,3.4
Meantime Yakima Red,Meantime,Beer,Red Ale,330,ml,330,bottle,4.1,1.4
Meantime Yakima Red,Meantime,Beer,Red Ale,330,ml,330,can,4.1,1.4
Meantime Yakima Red,Meantime,Beer,Red Ale,1,pint,568,draught,4.1,2.3
Mela Rossa,Angioletti,Cider,,330,ml,330,bottle,5.0,1.7
Menabrea Amber,Menabrea,Beer,Lager,330,ml,330,bottle,5.0,1.7
Menabrea Blonde,Menabrea,Beer,Lager,330,ml,330,bottle,4.8,1.6
Menabrea Blonde,Menabrea,Beer,Lager,1,pint,568,draught,4.8,2.7
Miller Genuine Draft,Miller,Beer,Lager,330,ml,330,bottle,4.7,1.6
Modelo Especial,Modelo,Beer,Lager,355,ml,355,bottle,4.5,1.6
Modelo Negra,Modelo,Beer,Lager,355,ml,355,bottle,5.3,1.9
Monteith's Bohemian Pilsner,Monteith's,Beer,Lager,330,ml,330,bottle,5.0,1.7
Monteith's Summer Ale,Monteith's,Beer,Summer Ale,330,ml,330,bottle,5.0,1.7
Murphy's Irish Stout,Murphy's,Beer,Stout,1,pint,568,draught,4.0,2.3
My Generation Pale Ale,My Generation,Beer,Pale Ale,1,pint,568,draught,4.2,2.4
Natch,Natch,Cider,,500,ml,500,can,5.2,2.6
Natch,Natch,Cider,,1,pint,568,draught,5.2,3.0
Newcastle Brown Ale,Newcastle Brown Ale,Beer,Brown Ale,550,ml,550,bottle,4.7,2.6
Nomad Beach House Pale,Nomad,Beer,Pale Ale,330,ml,330,can,5.0,1.7
Nomad Freshie Salt & Pepper Gose,Nomad,Beer,Gose,330,ml,330,can,4.5,1.5
Nomad Jet Leg IPA,Nomad,Beer,IPA,330,ml,330,bottle,6.0,2.0
Nomad Juicy As Fruit IPA,Nomad,Beer,IPA,330,ml,330,can,4.5,1.5
Nomad South Pacific Dream,Nomad,Beer,Pale Ale,330,ml,330,can,4.0,1.3
North Brewing Herzog,North Brewing,Beer,Lager,330,ml,330,can,5.0,1.7
North Brewing Pinata,North Brewing,Beer,Pale Ale,330,ml,330,can,4.5,1.5
North Brewing Sputnik,North Brewing,Beer,Pale Ale,330,ml,330,can,5.0,1.7
North Brewing Transmission IPA,North Brewing,Beer,IPA,330,ml,330,bottle,6.9,2.3
Oakham Ales Inferno,Oakham Ales,Beer,Ale,500,ml,500,bottle,4.6,2.3
Old Blue Last,Old Blue Last ,Beer,Lager,355,ml,355,can,5.0,1.8
Old Blue Last,Old Blue Last ,Beer,Lager,1,pint,568,draught,5.0,2.8
Old Golden Hen,Morland,Beer,Golden Ale,1,pint,568,draught,4.1,2.3
Old Hooky,Hook Norton Brewery,Beer,Bitter,500,ml,500,bottle,4.6,2.3
Old Hooky,Hook Norton Brewery,Beer,Bitter,1,pint,568,draught,4.6,2.6
Old Hoppy Hen,Morland,Beer,Pale Ale,1,pint,568,draught,4.8,2.7
Old Mout Berries & Cherries,Old Mout,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Old Mout Berries & Cherries 0%,Old Mout,Cider,Fruit Cider,500,ml,500,bottle,0.0,0.0
Old Mout Kiwi & Lime,Old Mout,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Old Mout Passion & Apple,Old Mout,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Old Mout Strawberry & Pomegranate,Old Mout,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Old Speckled Hen,Morland,Beer,Pale Ale,335,ml,335,bottle,5.0,1.7
Old Speckled Hen,Morland,Beer,Ale,500,ml,500,bottle,5.0,2.5
Old Speckled Hen,Morland,Beer,Ale,1,pint,568,draught,4.5,2.6
Old Speckled Hen Gluten Free,Morland,Beer,Ale,500,ml,500,bottle,5.0,2.5
Olde English,Olde English,Cider,,1,pint,568,draught,4.5,2.6
Open Gate Citra IPA,Open Gate,Beer,IPA,1,pint,568,draught,5.0,2.8
Open Gate Pilsner,Open Gate,Beer,Lager,1,pint,568,draught,5.0,2.8
Orchard Pig Charmer,Orchard Pig,Cider,,500,ml,500,bottle,6.0,3.0
Orchard Pig Explorer,Orchard Pig,Cider,,1,pint,568,draught,4.5,2.6
Orchard Pig Navelgazer,Orchard Pig,Cider,,1,pint,568,draught,6.0,3.4
Orchard Pig Reveller,Orchard Pig,Cider,,500,ml,500,bottle,4.5,2.3
Orchard Pig Reveller,Orchard Pig,Cider,,440,ml,440,can,4.5,2.0
Orchard Pig Reveller,Orchard Pig,Cider,,1,pint,568,draught,4.5,2.6
Orchard Pig The Hogfather,Orchard Pig,Cider,,1,pint,568,draught,7.4,4.2
Orchard Pig Truffler,Orchard Pig,Cider,,500,ml,500,bottle,6.0,3.0
Orchard Thieves,Orchard Thieves,Cider,,330,ml,330,can,4.5,1.5
Orchard Thieves,Orchard Thieves,Cider,,1,pint,568,draught,4.5,2.6
Orpens Fresh Pressed Apple Cider,Orpens,Cider,,330,ml,330,bottle,5.3,1.7
Ossian Golden Ale,Inveralmond Brewery,Beer,Golden Ale,1,pint,568,draught,4.1,2.3
Pabst Blue Ribbon Beer,Pabst,Beer,Lager,330,ml,330,can,4.6,1.5
Pabst Blue Ribbon Beer,Pabst,Beer,Lager,355,ml,355,can,4.6,1.6
Pacifico Clara,Pacifico,Beer,Lager,355,ml,355,bottle,4.5,1.6
Palax,Palax,Beer,Lager,330,ml,330,bottle,4.9,1.6
Palax,Palax,Beer,Lager,1,pint,568,draught,4.9,2.8
Palma Cristal,Palma Cristal,Beer,Lager,350,ml,350,bottle,4.9,1.7
Paxton IPA,The London Beer Factory,Beer,IPA,330,ml,330,can,5.5,1.8
Paxton IPA,The London Beer Factory,Beer,IPA,1,pint,568,draught,5.5,3.1
Peroni Ambra,Peroni,Beer,Lager,250,ml,250,bottle,6.0,1.5
Peroni Gran Riserva,Peroni,Beer,Lager,330,ml,330,bottle,6.6,2.2
Peroni Nastro Azzurro,Peroni,Beer,Lager,330,ml,330,bottle,5.1,1.7
Peroni Nastro Azzurro,Peroni,Beer,Lager,660,ml,660,bottle,5.1,3.4
Peroni Nastro Azzurro,Peroni,Beer,Lager,1,pint,568,draught,5.1,2.9
Peroni Nastro Azzurro (Gluten Free),Peroni,Beer,Lager,330,ml,330,bottle,5.1,1.7
Peroni Nastro Azzurro Piccola,Peroni,Beer,Lager,250,ml,250,bottle,5.1,1.3
Peroni Red,Peroni,Beer,Lager,330,ml,330,bottle,4.7,1.6
Pig & Porter Dance First,Pig & Porter,Beer,Porter,330,ml,330,can,4.2,1.4
Pig & Porter Gothic Imperial Stout,Pig & Porter,Beer,Porter,330,ml,330,can,7.4,2.4
Pig & Porter Red Spider Rye,Pig & Porter,Beer,Rye Beer,330,ml,330,can,4.8,1.6
Pig & Porter Skylarking Session IPA,Pig & Porter,Beer,IPA,330,ml,330,can,4.0,1.3
Pilsner Urquell,Pilsner Urquell,Beer,Lager,330,ml,330,bottle,4.4,1.5
Pilsner Urquell,Pilsner Urquell,Beer,Lager,1,pint,568,draught,4.4,2.5
Pimm's Mango & Passion Fruit Cider Cup,Pimm's,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Pimm's Plum & Red Apple Cider Cup,Pimm's,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Pimm's Strawberry & Cucumber Cider Cup,Pimm's,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Pimm's Summer Fruits Cider Cup,Pimm's,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Pistonhead Kustom Lager,Pistonhead,Beer,Lager,330,ml,330,can,4.6,1.5
Point Amber Lager,Point,Beer,Lager,355,ml,355,bottle,4.7,1.7
Point Amber Lager,Point,Beer,Lager,1,pint,568,draught,4.7,2.7
Point Belgium White,Point,Beer,Wheat Beer,355,ml,355,bottle,5.4,1.9
Point IPA,Point,Beer,IPA,355,ml,355,bottle,5.6,2.0
Point Pale Ale,Point,Beer,Pale Ale,355,ml,355,bottle,5.4,1.9
Point Pale Ale,Point,Beer,Pale Ale,1,pint,568,draught,5.4,3.1
Polar Monkeys Blue Collar Amber Lager,Polar Monkeys,Beer,Lager,330,ml,330,bottle,5.0,1.7
Polar Monkeys Blue Collar Amber Lager,Polar Monkeys,Beer,Lager,1,pint,568,draught,5.0,2.8
Polar Monkeys Chairman IPA,Polar Monkeys,Beer,IPA,330,ml,330,bottle,6.0,2.0
Polar Monkeys Chairman IPA,Polar Monkeys,Beer,IPA,1,pint,568,draught,6.0,3.4
Polar Monkeys White Collar Golden Ale,Polar Monkeys,Beer,Golden Ale,330,ml,330,bottle,5.5,1.8
Port City Optimal Wit,Port City,Beer,Wheat Beer,355,ml,355,bottle,4.9,1.7
Port City Porter,Port City,Beer,Porter,355,ml,355,bottle,7.2,2.6
Porterhouse Dublin Pale Ale,Porterhouse,Beer,Pale Ale,1,pint,568,draught,4.2,2.4
Porterhouse Hop Head IPA,Porterhouse,Beer,IPA,1,pint,568,draught,5.0,2.8
Porterhouse Nitro Red Ale,Porterhouse,Beer,Ale,1,pint,568,draught,4.2,2.4
Portobello London Pilsner,Portobello Brewing Co,Beer,Lager,330,ml,330,bottle,4.6,1.5
Portobello London Pilsner,Portobello Brewing Co,Beer,Lager,330,ml,330,can,4.6,1.5
Portobello London Pilsner,Portobello Brewing Co,Beer,Lager,1,pint,568,draught,4.6,2.6
Portobello Westways Pale Ale,Portobello Brewing Co,Beer,Pale Ale,330,ml,330,bottle,4.0,1.3
Pravha,Pravha,Beer,Lager,1,pint,568,draught,4.0,2.3
Punk IPA,BrewDog,Beer,Beer,1,pint,568,draught,5.4,3.1
Quilmes,Quilmes,Beer,Lager,340,ml,340,bottle,4.9,1.7
Red Stripe,Red Stripe,Beer,Lager,300,ml,300,bottle,4.7,1.4
Red Stripe,Red Stripe,Beer,Lager,330,ml,330,bottle,4.7,1.6
Red Stripe,Red Stripe,Beer,Lager,440,ml,440,can,4.7,2.1
Red Stripe,Red Stripe,Beer,Lager,1,pint,568,draught,4.7,2.7
Redchurch Bethnal Pale Ale,Redchurch,Beer,Pale Ale,330,ml,330,bottle,5.5,1.8
Redchurch Bethnal Pale Ale,Redchurch,Beer,Ale,1,pint,568,draught,5.5,3.1
Redchurch Great Eastern IPA,Redchurch,Beer,IPA,330,ml,330,bottle,7.4,2.4
Redchurch Great Eastern IPA,Redchurch,Beer,IPA,1,pint,568,draught,7.4,4.2
Redchurch Hoxton Stout,Redchurch,Beer,Stout,330,ml,330,bottle,5.0,1.7
Redchurch Hoxton Stout,Redchurch,Beer,Stout,1,pint,568,draught,5.0,2.8
Redchurch Lager,Redchurch,Beer,Lager,330,ml,330,bottle,4.7,1.6
Redchurch Lager,Redchurch,Beer,Lager,1,pint,568,draught,4.7,2.7
Redchurch Old Ford Export Stout,Redchurch,Beer,Lager,330,ml,330,bottle,7.5,2.5
Redchurch Old Ford Export Stout,Redchurch,Beer,Lager,1,pint,568,draught,7.5,4.3
Redchurch Paradise Pale Ale,Redchurch,Beer,Pale Ale,330,ml,330,bottle,3.7,1.2
Redchurch Paradise Pale Ale,Redchurch,Beer,Pale Ale,1,pint,568,draught,3.7,2.1
Redchurch Shoreditch Blonde,Redchurch,Beer,Lager,330,ml,330,bottle,4.5,1.5
Redchurch Shoreditch Blonde,Redchurch,Beer,Lager,1,pint,568,draught,4.5,2.6
Rekorderlig Apple Cider,Rekorderlig,Cider,,500,ml,500,bottle,4.5,2.3
Rekorderlig Botanicals Grapefruit & Rosemary,Rekorderlig,Cider,Fruit Cider,330,ml,330,bottle,4.0,1.3
Rekorderlig Botanicals Peach & Basil,Rekorderlig,Cider,Fruit Cider,330,ml,330,bottle,4.0,1.3
"Rekorderlig Botanicals Rhubarb, Lemon & Mint",Rekorderlig,Cider,Fruit Cider,330,ml,330,bottle,4.0,1.3
Rekorderlig Dry Apple Cider,Rekorderlig,Cider,,1,pint,568,draught,5.0,2.8
Rekorderlig Mango & Raspberry,Rekorderlig,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Rekorderlig Mango & Raspberry,Rekorderlig,Cider,Fruit Cider,330,ml,330,can,4.5,1.5
Rekorderlig Passion Fruit,Rekorderlig,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Rekorderlig Passion Fruit,Rekorderlig,Cider,Fruit Cider,1,pint,568,draught,4.0,2.3
Rekorderlig Pear Cider,Rekorderlig,Cider,Perry,500,ml,500,bottle,4.5,2.3
Rekorderlig Spiced Plum,Rekorderlig,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Rekorderlig Strawberry & Lime,Rekorderlig,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Rekorderlig Strawberry & Lime,Rekorderlig,Cider,Fruit Cider,330,ml,330,can,4.0,1.3
Rekorderlig Strawberry & Lime,Rekorderlig,Cider,Fruit Cider,1,pint,568,draught,4.0,2.3
Rekorderlig Strawberry & Lime Low Alcohol,Rekorderlig,Cider,Fruit Cider,500,ml,500,bottle,0.2,0.1
Rekorderlig Wild Berries,Rekorderlig,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Rekorderlig Wild Berries,Rekorderlig,Cider,Fruit Cider,330,ml,330,can,4.0,1.3
Revisionist Craft Lager,Revisionist,Beer,Lager,1,pint,568,draught,4.0,2.3
Riggwelter,Black Sheep,Beer,Ale,1,pint,568,draught,5.9,3.4
Ringwood Fortyniner,Ringwood,Beer,Golden Ale,1,pint,568,draught,4.9,2.8
Rocking Rudolph,Hardys & Hansons,Beer,,1,pint,568,draught,4.2,2.4
Rothhammer Golden Ale,Rothhammer,Beer,Golden Ale,1,pint,568,draught,5.5,3.1
Rothhammer Nazca IPA,Rothhammer,Beer,IPA,1,pint,568,draught,4.7,2.7
Rothhammer Red Ale,Rothhammer,Beer,Red Ale,1,pint,568,draught,4.5,2.6
Rothhammer Stratus Lager,Rothhammer,Beer,Lager,350,ml,350,bottle,4.2,1.5
Rothhammer Stratus lager,Rothhammer,Beer,Lager,1,pint,568,draught,4.2,2.4
Ruck & Roll,St Austell,Beer,Ale,1,pint,568,draught,4.0,2.3
Ruddles Best,Ruddles,Beer,Bitter,1,pint,568,draught,3.7,2.1
Rudolph's Reward,No. 18 Yard Brewhouse,Beer,Light Ale,1,pint,568,draught,3.7,2.1
Sadler's Peaky Blinder Craft Lager,Sadler's Peaky Blinder,Beer,Lager,1,pint,568,draught,4.1,2.3
Sadler's Peaky Blinder Lager,Sadler's Peaky Blinder,Beer,Lager,330,ml,330,bottle,4.1,1.4
Sadler's Peaky Blinder Pale Ale,Sadler's Peaky Blinder,Beer,Pale Ale,500,ml,500,bottle,4.4,2.2
Sagres,Sagres,Beer,Lager,1,pint,568,draught,5.0,2.8
Saint Lager,Saint,Beer,Lager,330,ml,330,bottle,4.6,1.5
Salitos,Salitos,Beer,Lager,330,ml,330,bottle,5.9,1.9
Samuel Adams Boston Lager,Samuel Adams,Beer,Lager,330,ml,330,bottle,4.8,1.6
Samuel Adams Boston Lager,Samuel Adams,Beer,Lager,1,pint,568,draught,4.8,2.7
San Miguel,San Miguel,Beer,Lager,330,ml,330,bottle,5.0,1.7
San Miguel,San Miguel,Beer,Lager,1,pint,568,draught,5.0,2.8
San Miguel Fresca,San Miguel,Beer,Lager,330,ml,330,bottle,4.4,1.5
Sandford Orchards Berry Lane Cider,Sandford Orchards,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Sandford Orchards Devon Mist,Sandford Orchards,Cider,,500,ml,500,bottle,4.5,2.3
Sandford Orchards Devon Mist,Sandford Orchards,Cider,,1,pint,568,draught,4.5,2.6
Sandford Orchards Devon Red,Sandford Orchards,Cider,,500,ml,500,bottle,4.5,2.3
Sandford Orchards Devon Red,Sandford Orchards,Cider,,330,ml,330,can,4.5,1.5
Sandford Orchards Devon Red,Sandford Orchards,Cider,,1,pint,568,draught,4.5,2.6
Sandford Orchards Old Blossom,Sandford Orchards,Cider,,500,ml,500,bottle,4.0,2.0
Sandford Orchards St Louis Dry Hopped,Sandford Orchards,Cider,,330,ml,330,bottle,5.5,1.8
Sassy Cidre Lâ€™imitable,Sassy Cidre,Cider,,33,cl,330,bottle,5.2,1.7
Sassy Cidre Rose,Sassy Cidre,Cider,,33,cl,330,bottle,3.0,1.0
Savanna Dry Cider,Savanna,Cider,,330,ml,330,bottle,5.0,1.7
Sayers Stout,The London Beer Factory,Beer,Stout,330,ml,330,bottle,4.5,1.5
Seven Bro7hers EPA,Seven Bro7hers,Beer,Pale Ale,330,ml,330,bottle,4.8,1.6
Seven Bro7hers IPA,Seven Bro7hers,Beer,IPA,330,ml,330,can,5.0,1.7
Seven Bro7hers IPA,Seven Bro7hers,Beer,IPA,1,pint,568,draught,5.0,2.8
Seven Giraffes,Williams Bros. Brewing Co.,Beer,IPA,500,ml,500,bottle,5.1,2.6
Sharp's Atlantic Pale Ale,Sharp's,Beer,Beer,1,pint,568,draught,4.2,2.4
Sharps 6 Vintage Blend,Sharps,Beer,Ale,330,ml,330,bottle,7.4,2.4
Sharps Cornish Pilsner,Sharps,Beer,Lager,330,ml,330,bottle,5.2,1.7
Sharps Cornish Pilsner,Sharps,Beer,Lager,1,pint,568,draught,5.2,3.0
Sharps Offshore Pilsner,Sharps,Beer,Lager,330,ml,330,can,4.8,1.6
Sharps Offshore Pilsner,Sharps,Beer,Lager,1,pint,568,draught,4.8,2.7
Sharps Orchard Cider,Sharps,Cider,,1,pint,568,draught,4.5,2.6
Sharps Single Brew,Sharps,Beer,Lager,330,ml,330,bottle,4.5,1.5
Shed Head,Backyard Brew,Beer,Lager,1,pint,568,draught,4.6,2.6
Sheppy's 200 Special Edition Cider,Sheppy's,Cider,,1,pint,568,draught,5.0,2.8
Sheppy's Classic Draught Cider,Sheppy's,Cider,,1,pint,568,draught,5.5,3.1
Sheppy's Oakwood Cider,Sheppy's,Cider,,1,pint,568,draught,4.8,2.7
Shipyard Pale Ale,Shipyard,Beer,Beer,1,pint,568,draught,4.5,2.6
Shipyard Rye Pale Ale,Shipyard,Beer,Rye Beer,1,pint,568,draught,4.3,2.4
Shipyard Summer Ale,Shipyard,Beer,Wheat Beer,1,pint,568,draught,4.8,2.7
Sierra Nevada California IPA,Sierra Nevada,Beer,IPA,355,ml,355,can,4.2,1.5
Sierra Nevada California IPA,Sierra Nevada,Beer,IPA,1,pint,568,draught,4.2,2.4
Sierra Nevada Pale Ale,Sierra Nevada,Beer,Pale Ale,355,ml,355,bottle,5.6,2.0
Sierra Nevada Pale Ale,Sierra Nevada,Beer,Pale Ale,355,ml,355,can,5.6,2.0
Sierra Nevada Pale Ale,Sierra Nevada,Beer,Pale Ale,1,pint,568,draught,5.0,2.8
Sierra Nevada Porter,Sierra Nevada,Beer,Porter,355,ml,355,bottle,5.6,2.0
Sierra Nevada Torpedo Extra IPA,Sierra Nevada,Beer,IPA,355,ml,355,bottle,7.2,2.6
Sierra Nevada Tropical Torpedo,Sierra Nevada,Beer,IPA,355,ml,355,bottle,6.7,2.4
Singha,Singha,Beer,Lager,330,ml,330,bottle,5.0,1.7
Siren Craft Brew Calypso,Siren Craft Brew,Beer,Sour Beer,330,ml,330,bottle,4.0,1.3
Siren Craft Brew Soundwave,Siren Craft Brew,Beer,IPA,330,ml,330,bottle,5.6,1.8
Siren Craft Brew Soundwave,Siren Craft Brew,Beer,IPA,1,pint,568,draught,5.6,3.2
Siren Craft Brew Yu Lu,Siren Craft Brew,Beer,Ale,330,ml,330,bottle,3.8,1.3
Skinny Brands Lager,Skinny Brands,Beer,Lager,330,ml,330,bottle,4.0,1.3
Smirnoff Cider Mandarin & Pink Grapefruit,Smirnoff,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Smirnoff Cider Passionfruit & Lime,Smirnoff,Cider,Fruit Cider,330,ml,330,bottle,4.0,1.3
Smirnoff Cider Passionfruit & Lime,Smirnoff,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Smirnoff Cider Raspberry & Pomegranate,Smirnoff,Cider,Fruit Cider,330,ml,330,bottle,4.0,1.3
Smirnoff Cider Raspberry & Pomegranate,Smirnoff,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Sol,Sol,Beer,Lager,330,ml,330,bottle,4.5,1.5
Somersby Cider,Somersby,Cider,,500,ml,500,bottle,4.5,2.3
Somersby Cider,Somersby,Cider,,1,pint,568,draught,4.5,2.6
Somersby Strawberry & Rhubarb,Somersby,Cider,Fruit Cider,1,pint,568,draught,4.0,2.3
Spaten Helles,Spaten,Beer,Lager,1,pint,568,draught,5.2,3.0
Spindrift,Adnams,Beer,Blonde Ale,1,pint,568,draught,4.0,2.3
Spitfire,Shepherd Neame,Beer,Ale,1,pint,568,draught,4.2,2.4
Spring Fever,St Austell,Beer,Ale,1,pint,568,draught,4.1,2.3
St Andrews Ale,Belhaven Brewery,Beer,Amber Ale,1,pint,568,draught,4.9,2.8
St Austell Jolly Holly,St Austell,Beer,Ale,1,pint,568,draught,4.5,2.6
St Austell Liquid Sun,St Austell,Beer,Golden Ale,1,pint,568,draught,3.9,2.2
St Austell Proper Job,St Austell,Beer,IPA,1,pint,568,draught,4.5,2.6
St Austell Tribute,St Austell,Beer,Ale,1,pint,568,draught,4.2,2.4
St George and the Dragon,Wadworth,Beer,Ale,1,pint,568,draught,4.5,2.6
St Stefanus Blonde,St Stefanus,Beer,Abbey Beer,330,ml,330,bottle,7.0,2.3
St Stefanus Blonde,St Stefanus,Beer,Abbey Beer,1,pint,568,draught,7.0,4.0
Staropramen,Staropramen,Beer,Lager,330,ml,330,bottle,5.0,1.7
Staropramen,Staropramen,Beer,Lager,1,pint,568,draught,5.0,2.8
Stella Artois,Stella Artois,Beer,Lager,330,ml,330,bottle,4.8,1.6
Stella Artois,Stella Artois,Beer,Lager,440,ml,440,can,4.8,2.1
Stella Artois,Stella Artois,Beer,Lager,1,pint,568,draught,4.8,2.7
Stella Artois 4%,Stella Artois,Beer,Lager,1,pint,568,draught,4.0,2.3
Stella Artois Black,Stella Artois,Beer,Lager,1,pint,568,draught,4.9,2.8
Stella Artois Cidre Apple,Stella Artois,Cider,,500,ml,500,bottle,4.5,2.3
Stella Artois Cidre Peach,Stella Artois,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Stella Artois Cidre Pear,Stella Artois,Cider,Fruit Cider,568,ml,568,bottle,4.5,2.6
Stella Artois Cidre Raspberry,Stella Artois,Cider,Fruit Cider,500,ml,500,bottle,4.0,2.0
Stella Artois Gluten Free,Stella Artois,Beer,Lager,330,ml,330,bottle,4.8,1.6
Stella Cidre,Stella Artois,Cider,,1,pint,568,draught,4.5,2.6
Stewart Edinburgh Gold,Stewart,Beer,Golden Ale,330,ml,330,bottle,4.8,1.6
Stewart Hollyrood Pale Ale,Stewart,Beer,Pale Ale,330,ml,330,bottle,5.0,1.7
Stewart Ka Pai Hopped Pale Ale,Stewart,Beer,Pale Ale,330,ml,330,bottle,5.2,1.7
Stone Go To IPA,Stone,Beer,IPA,330,ml,330,can,4.7,1.6
Stone Go To IPA,Stone,Beer,IPA,1,pint,568,draught,4.7,2.7
Stone IPA,Stone,Beer,IPA,330,ml,330,can,6.9,2.3
Stone White Ghost Berliner Weisse,Stone,Beer,Wheat Beer,330,ml,330,can,4.7,1.6
Stowford Press,Stowford Press,Cider,,500,ml,500,bottle,4.5,2.3
Stowford Press 0.5% Low Alcohol Cider,Stowford Press,Cider,,330,ml,330,bottle,0.5,0.2
Stowford Press Draught Cider,Stowford Press,Cider,,1,pint,568,draught,4.5,2.6
Stowford Press Mixed Berries,Stowford Press,Cider,Fruit Cider,1,pint,568,draught,4.0,2.3
Strongbow,Strongbow,Cider,,330,ml,330,bottle,5.0,1.7
Strongbow,Strongbow,Cider,,1,pint,568,draught,4.5,2.6
Sxollie Golden Delicous Cider,Sxollie,Cider,,330,ml,330,bottle,4.5,1.5
Sxollie Granny Smith Cider,Sxollie,Cider,,330,ml,330,bottle,4.5,1.5
Symonds Founder's Reserve Cider,Symonds,Cider,,1,pint,568,draught,4.5,2.6
Tailgate Peanut Butter Milk Stout,TailGate,Beer,Stout,355,ml,355,can,5.8,2.1
Tailgate South East IPA,TailGate,Beer,IPA,355,ml,355,can,6.2,2.2
Tartan Special,Younger's,Beer,Ale,1,pint,568,draught,3.7,2.1
Taunton Traditional Cider,Taunton Traditional Cider,Cider,,1,pint,568,draught,5.2,3.0
Tennent's 80/- Ember,Tennent's,Beer,Bitter,1,pint,568,draught,4.2,2.4
Tennent's Lager,Tennent's,Beer,Lager,500,ml,500,can,4.0,2.0
Tennent's Lager,Tennent's,Beer,Lager,1,pint,568,draught,4.0,2.3
Tennent's Special,Tennent's,Beer,Bitter,500,ml,500,can,3.5,1.8
Tennent's Special 70/-,Tennent's,Beer,Bitter,1,pint,568,draught,3.5,2.0
Tetley Smoothflow Bitter,Tetley's,Beer,Bitter,1,pint,568,draught,3.6,2.0
Tetley's Dark Mild,Tetley's,Beer,Ale,1,pint,568,draught,2.8,1.6
Tetley's Mild,Tetley's,Beer,Ale,1,pint,568,draught,3.2,1.8
Tetley's Smoothflow Bitter,Tetley's,Beer,Bitter,1,pint,568,draught,3.6,2.0
Tetley's Traditional Bitter,Tetley's,Beer,Bitter,1,pint,568,draught,3.7,2.1
Thatchers Gold,Thatchers,Cider,,500,ml,500,bottle,4.8,2.4
Thatchers Gold,Thatchers,Cider,,1,pint,568,draught,4.8,2.7
Thatchers Green Goblin,Thatchers,Cider,,500,ml,500,bottle,5.0,2.5
Thatchers Haze,Thatchers,Cider,,500,ml,500,bottle,4.5,2.3
Thatchers Haze,Thatchers,Cider,,1,pint,568,draught,4.5,2.6
Thatchers Katy,Thatchers,Cider,,500,ml,500,bottle,7.4,3.7
Thatchers Old Rascal,Thatchers,Cider,,500,ml,500,bottle,4.5,2.3
Thatchers Old Rascal,Thatchers,Cider,,1,pint,568,draught,4.5,2.6
Thatchers Stan's Big Apple,Thatchers,Cider,,1,pint,568,draught,5.0,2.8
Thatchers Stan's Cheddar Valley,Thatchers,Cider,,1,pint,568,draught,5.0,2.8
